titles,years,descriptions,genres
Avengers: Age of Ultron,2015,"    When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","Action, Adventure, Sci-Fi            "
The Revenant,2015,    A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"Action, Adventure, Drama            "
Inside Out,2015,"    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Animation, Adventure, Comedy            "
Jurassic World,2015,"    A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.","Action, Adventure, Sci-Fi            "
Ant-Man,2015,"    Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.","Action, Adventure, Comedy            "
The Hateful Eight,2015,"    In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","Crime, Drama, Mystery            "
Spotlight,2015,"    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography, Crime, Drama            "
Spectre,2015,"    A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.","Action, Adventure, Thriller            "
Sicario,2015,    An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"Action, Crime, Drama            "
Room,2015,"    Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Drama, Thriller            "
Furious 7,2015,    Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Action, Adventure, Thriller            "
Daredevil,2015,"    A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Action, Crime, Drama            "
The Big Short,2015,    In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,"Biography, Comedy, Drama            "
Narcos,2015,"    A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography, Crime, Drama            "
Mission: Impossible - Rogue Nation,2015,    Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"Action, Adventure, Thriller            "
Mr. Robot,2015,"    Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Crime, Drama, Thriller            "
Better Call Saul,,"    The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Crime, Drama            "
Fifty Shades of Grey,2015,"    Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.","Drama, Romance, Thriller            "
Bridge of Spies,2015,"    During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.","Drama, History, Thriller            "
The Hunger Games: Mockingjay - Part 2,2015,    Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,"Action, Adventure, Sci-Fi            "
The Man from U.N.C.L.E.,2015,"    In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.","Action, Adventure, Comedy            "
Terminator Genisys,2015,"    When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.","Action, Adventure, Sci-Fi            "
Creed,2015,"    The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","Drama, Sport            "
Chappie,2015,"    In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.","Action, Crime, Drama            "
Spy,2015,"    A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","Action, Comedy, Crime            "
Maze Runner: The Scorch Trials,2015,"    After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.","Action, Adventure, Sci-Fi            "
Southpaw,2015,"    A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.","Action, Drama, Sport            "
The Divergent Series: Insurgent,2015,    Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,"Action, Adventure, Sci-Fi            "
The Intern,2015,"    Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.","Comedy, Drama            "
Focus,2015,"    In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","Comedy, Crime, Drama            "
